City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Santa Maria,BR,2021-02-18 02:15:43,-29.6842,-53.8069,66.2,88,0,1.14
68,Iqaluit,CA,2021-02-18 02:15:43,63.7506,-68.5145,-7.6,71,75,5.55
69,Norman Wells,CA,2021-02-18 02:15:44,65.282,-126.8329,-7.6,77,20,4.61
70,Lumeje,AO,2021-02-18 02:15:44,-11.55,20.7833,65.73,83,99,3.38
71,Acapulco,MX,2021-02-18 02:15:44,16.8634,-99.8901,75.2,73,20,10.36
72,Mahebourg,MU,2021-02-18 02:15:44,-20.4081,57.7,75.2,88,75,8.05
73,Shanhetun,CN,2021-02-18 02:15:44,44.7,127.2,4.3,93,94,8.99
74,Nikolskoye,RU,2021-02-18 02:15:44,59.7035,30.7861,-11.0,77,20,2.24
75,Coquimbo,CL,2021-02-18 02:12:33,-29.9533,-71.3436,60.8,77,0,3.44
76,Arraial Do Cabo,BR,2021-02-18 02:15:44,-22.9661,-42.0278,76.87,92,100,11.52
77,Ahipara,NZ,2021-02-18 02:15:44,-35.1667,173.1667,70.52,55,94,7.49
78,At-Bashi,KG,2021-02-18 02:15:44,41.1702,75.8106,16.81,64,0,2.08
79,East London,ZA,2021-02-18 02:15:45,-33.0153,27.9116,70.02,68,0,1.59
80,Coahuayana,MX,2021-02-18 02:15:45,18.7333,-103.6833,66.2,77,1,9.22
81,New Norfolk,AU,2021-02-18 02:15:45,-42.7826,147.0587,82.0,34,0,3.0
82,San Jose,US,2021-02-18 02:15:45,37.3394,-121.895,59.0,38,40,13.8
83,Lavrentiya,RU,2021-02-18 02:15:45,65.5833,-171.0,-11.78,85,0,3.24
84,Bodden Town,KY,2021-02-18 02:15:45,19.2833,-81.25,80.6,74,20,9.22
85,Georgetown,MY,2021-02-18 02:13:18,5.4112,100.3354,80.6,57,20,10.36
86,Kavieng,PG,2021-02-18 02:15:45,-2.5744,150.7967,85.41,70,100,8.93
87,Kota Belud,MY,2021-02-18 02:15:45,6.351,116.4305,84.2,70,20,13.8
88,Bousse,BF,2021-02-18 02:15:45,12.6606,-1.8922,82.4,15,81,12.66
89,Vila Franca Do Campo,PT,2021-02-18 02:15:46,37.7167,-25.4333,52.0,82,40,4.47
90,Goyty,RU,2021-02-18 02:15:46,43.1642,45.6228,3.2,85,0,2.24
91,Katsuura,JP,2021-02-18 02:14:15,35.1333,140.3,44.6,16,20,8.05
92,Puerto Ayora,EC,2021-02-18 02:15:46,-0.7393,-90.3518,78.01,92,69,3.0
93,Sorong,ID,2021-02-18 02:15:46,-0.8833,131.25,83.34,77,97,8.5
94,Lorengau,PG,2021-02-18 02:15:46,-2.0226,147.2712,85.77,72,100,9.31
95,Debre Tabor,ET,2021-02-18 02:15:46,11.85,38.0167,53.13,82,79,2.57
96,Talnakh,RU,2021-02-18 02:15:46,69.4865,88.3972,-21.91,85,100,2.1
97,Aneho,TG,2021-02-18 02:15:46,6.2333,1.6,82.4,89,40,5.75
98,Tautira,PF,2021-02-18 02:15:47,-17.7333,-149.15,87.8,62,20,12.66
99,Seymchan,RU,2021-02-18 02:15:47,62.8833,152.4333,-13.72,85,100,2.91
100,Jamestown,US,2021-02-18 02:15:47,42.097,-79.2353,17.01,85,1,5.75
101,Tigzirt,DZ,2021-02-18 02:15:47,36.8886,4.1198,56.59,45,83,8.01
102,Keti Bandar,PK,2021-02-18 02:15:47,24.1447,67.4497,67.77,79,0,8.28
103,Cherskiy,RU,2021-02-18 02:15:47,68.75,161.3,-21.37,86,0,1.14
104,Sioux Falls,US,2021-02-18 02:13:03,43.55,-96.7003,7.0,92,90,3.94
105,Kharp,RU,2021-02-18 02:15:47,66.8014,65.8081,-24.14,80,100,8.48
106,Poum,NC,2021-02-18 02:15:47,-20.2333,164.0167,82.92,77,100,11.45
107,Qaanaaq,GL,2021-02-18 02:15:47,77.484,-69.3632,-10.1,72,6,6.33
108,Bluff,NZ,2021-02-18 02:15:48,-46.6,168.3333,63.0,69,4,11.01
109,Seoul,KR,2021-02-18 02:13:02,37.5683,126.9778,23.0,36,0,18.41
110,Abnub,EG,2021-02-18 02:15:48,27.2696,31.1511,42.8,70,0,9.22
111,Waddan,LY,2021-02-18 02:15:48,29.1614,16.139,46.31,53,0,4.74
112,Thai Nguyen,VN,2021-02-18 02:15:48,21.5928,105.8442,68.0,68,100,2.3
113,Kaitangata,NZ,2021-02-18 02:15:48,-46.2817,169.8464,64.99,68,4,8.99
114,Kavaratti,IN,2021-02-18 02:15:48,10.5669,72.642,80.89,68,100,8.1
115,Lincoln,US,2021-02-18 02:14:24,40.8,-96.667,15.8,57,90,3.44
116,Mbandaka,CD,2021-02-18 02:15:48,0.0487,18.2603,76.46,67,100,3.27
117,Mongo,TD,2021-02-18 02:15:48,12.1844,18.693,55.27,34,0,7.52
118,Yellowknife,CA,2021-02-18 02:13:10,62.456,-114.3525,-9.0,77,75,16.11
119,Cape Town,ZA,2021-02-18 02:10:58,-33.9258,18.4232,64.0,77,20,3.44
120,Aromashevo,RU,2021-02-18 02:15:49,56.8602,68.6375,-12.84,90,77,4.32
121,Eldorado,BR,2021-02-18 02:15:49,-23.7869,-54.2836,68.07,68,0,3.83
122,Sobolevo,RU,2021-02-18 02:15:49,54.4299,31.8996,-4.63,92,78,7.43
123,Bredasdorp,ZA,2021-02-18 02:15:49,-34.5322,20.0403,62.6,72,80,8.05
124,Kodiak,US,2021-02-18 02:15:49,57.79,-152.4072,39.2,70,1,8.05
125,Nome,US,2021-02-18 02:13:23,64.5011,-165.4064,3.2,55,1,3.44
126,Saint George,US,2021-02-18 02:15:49,37.1041,-113.5841,44.01,33,1,18.41
127,Saskylakh,RU,2021-02-18 02:15:49,71.9167,114.0833,-35.27,79,2,6.13
128,Mmabatho,ZA,2021-02-18 02:15:49,-25.85,25.6333,64.4,82,3,3.53
129,Ancud,CL,2021-02-18 02:15:50,-41.8697,-73.8203,57.0,94,90,14.97
130,Hambantota,LK,2021-02-18 02:15:50,6.1241,81.1185,71.6,100,97,3.44
131,Egvekinot,RU,2021-02-18 02:15:50,66.3167,-179.1667,-8.25,83,47,4.05
132,Burnie,AU,2021-02-18 02:15:50,-41.0667,145.9167,66.34,71,94,14.58
133,Copiapo,CL,2021-02-18 02:10:50,-27.3667,-70.3333,62.6,82,90,5.75
134,Becerril,CO,2021-02-18 02:15:50,9.7041,-73.2793,79.48,56,88,7.34
135,Ulaangom,MN,2021-02-18 02:15:50,49.9811,92.0667,-0.71,91,94,0.96
136,Saint Simons,US,2021-02-18 02:11:01,31.1352,-81.3901,54.0,100,90,12.66
137,Point Fortin,TT,2021-02-18 02:15:48,10.1833,-61.6833,73.99,1,100,1.99
138,Basco,PH,2021-02-18 02:15:50,20.4487,121.9702,67.24,75,96,33.22
139,Dingle,PH,2021-02-18 02:15:51,10.9995,122.6711,79.39,72,14,18.05
140,Molepolole,BW,2021-02-18 02:15:51,-24.4066,25.4951,66.2,94,0,3.44
141,Tuatapere,NZ,2021-02-18 02:15:51,-46.1333,167.6833,63.0,69,17,11.01
142,Paamiut,GL,2021-02-18 02:15:51,61.994,-49.6678,10.29,84,0,19.53
143,Lagoa,PT,2021-02-18 02:15:51,39.05,-27.9833,56.8,76,100,19.53
144,West Helena,US,2021-02-18 02:15:51,34.5507,-90.6418,23.0,93,90,12.66
145,Hilo,US,2021-02-18 02:15:51,19.7297,-155.09,78.8,61,20,8.05
146,Grindavik,IS,2021-02-18 02:15:51,63.8424,-22.4338,37.4,93,75,9.22
147,Swan Hill,AU,2021-02-18 02:15:51,-35.3378,143.5544,86.02,29,0,13.42
148,Whitehorse,CA,2021-02-18 02:15:52,60.7161,-135.0538,21.2,79,75,19.57
149,Punta Arenas,CL,2021-02-18 02:14:08,-53.15,-70.9167,50.0,76,90,17.27
150,San Quintin,MX,2021-02-18 02:15:52,30.4833,-115.95,57.34,72,0,15.26
151,Lata,PT,2021-02-18 02:15:52,40.1629,-8.3327,57.99,85,100,3.0
152,Gaoua,BF,2021-02-18 02:15:52,10.2992,-3.2508,83.57,34,100,5.19
153,Zhuanghe,CN,2021-02-18 02:15:52,39.7008,122.9911,18.34,74,0,9.66
154,Vestmannaeyjar,IS,2021-02-18 02:15:52,63.4427,-20.2734,39.2,87,75,12.66
155,Ambilobe,MG,2021-02-18 02:15:52,-13.2,49.05,75.11,91,54,1.3
156,Nagato,JP,2021-02-18 02:15:52,34.3833,131.2,34.0,74,75,9.22
157,Gigmoto,PH,2021-02-18 02:15:52,13.7796,124.39,79.0,67,99,19.64
158,Port Blair,IN,2021-02-18 02:15:53,11.6667,92.75,82.4,78,40,11.5
159,Ilulissat,GL,2021-02-18 02:15:53,69.2167,-51.1,5.0,66,90,6.91
160,Codrington,AU,2021-02-18 02:15:53,-38.2667,141.9667,90.66,28,0,10.02
161,San Antonio,US,2021-02-18 02:15:53,29.4241,-98.4936,33.8,80,90,16.11
162,Saint-Philippe,RE,2021-02-18 02:15:53,-21.3585,55.7679,78.8,73,0,4.61
163,Cabo San Lucas,MX,2021-02-18 02:12:05,22.8909,-109.9124,66.0,82,1,11.5
164,Kropotkin,RU,2021-02-18 02:15:53,45.4375,40.5756,14.0,96,24,6.22
